snapshot_time,market_id,question,slug,category,endDate,volume24hr,volume_total,liquidity,outcomes,outcomePrices
2026-01-06T19:50:19.593831+00:00,12,Will Joe Biden get Coronavirus before the election?,will-joe-biden-get-coronavirus-before-the-election,US-current-affairs,2020-11-04T00:00:00Z,0.0,32257.45,0.0,"[""Yes"", ""No""]","[""0"", ""0""]"
2026-01-06T19:50:19.593831+00:00,17,"Will Airbnb begin publicly trading before Jan 1, 2021?",will-airbnb-begin-publicly-trading-before-jan-1-2021,Tech,2021-01-02T00:00:00Z,0.0,89665.25,0.0,"[""Yes"", ""No""]","[""0"", ""0""]"
2026-01-06T19:50:19.593831+00:00,18,"Will a new Supreme Court Justice be confirmed before Nov 3rd, 2020?",will-a-new-supreme-court-justice-be-confirmed-before-nov-3rd-2020,US-current-affairs,2020-11-04T00:00:00Z,0.0,43279.46,0.0,"[""Yes"", ""No""]","[""0"", ""0""]"
2026-01-06T19:50:19.593831+00:00,19,"Will Kim Kardashian and Kanye West divorce before Jan 1, 2021?",will-kim-kardashian-and-kanye-west-divorce-before-jan-1-2021,Pop-Culture ,2021-01-02T00:00:00Z,0.0,22067.48,0.18,"[""Yes"", ""No""]","[""0.000001011082052522541417308141468657552"", ""0.9999989889179474774585826918585313""]"
2026-01-06T19:50:19.593831+00:00,20,"Will Coinbase begin publicly trading before Jan 1, 2021?",will-coinbase-begin-publicly-trading-before-jan-1-2021,Crypto,2021-01-02T00:00:00Z,0.0,116803.38,0.37,"[""Yes"", ""No""]","[""0.000001024519509568169644816863666886675"", ""0.9999989754804904318303551831363331""]"
2026-01-06T19:50:19.593831+00:00,36,"What will the price of Bitcoin be on November 4th, 2020?",what-will-the-price-of-bitcoin-be-on-november-4th-2020,Crypto,2020-11-04T00:00:00Z,0.0,59755.8,0.0,"[""Long"", ""Short""]","[""0"", ""0""]"
2026-01-06T19:50:19.593831+00:00,40,Will Trump win the 2020 U.S. presidential election?,will-trump-win-the-2020-us-presidential-election,US-current-affairs,2020-11-20T00:00:00Z,0.0,10802601.99,68.28,"[""Yes"", ""No""]","[""0.00000004364303498046286702037228176483457"", ""0.9999999563569650195371329796277182""]"
2026-01-06T19:50:19.593831+00:00,42,Will there be an Emergency Use Authorization (EUA) granted for a COVID-19 vaccine prior to Nov 3 2020?,will-there-be-an-emergency-use-authorization-granted-for-a-covid-19-vaccine-prior-to-nov-3,Coronavirus,2020-11-04T00:00:00Z,0.0,21881.06,0.0,"[""Yes"", ""No""]","[""0"", ""0""]"
2026-01-06T19:50:19.593831+00:00,43,"What will the total value locked (TVL) in DeFi be at the end of 2020, according to DefiPulse?",what-will-the-total-value-locked-tvl-in-defi-be-at-the-end-of-2020-according-to-defipulse,Crypto,2021-01-02T00:00:00Z,0.0,46944.58,4.6,"[""Long"", ""Short""]","[""0.5843311669077693146635445446077281"", ""0.4156688330922306853364554553922719""]"
2026-01-06T19:50:19.593831+00:00,44,"What will the USD price of Filecoin ($FIL) be on November 17th, 2020?",what-will-the-usd-price-of-filecoin-fil-be-on-november-17th-2020,Crypto,2020-11-17T00:00:00Z,0.0,69947.1,190.13,"[""Long"", ""Short""]","[""0.4988929462743076960451117056339252"", ""0.5011070537256923039548882943660748""]"
2026-01-06T19:50:19.593831+00:00,46,Will Drake release a new studio album before the end of 2020?,will-drake-release-a-new-studio-album-before-the-end-of-2020,Pop-Culture ,2021-01-02T00:00:00Z,0.0,31841.39,0.0,"[""Yes"", ""No""]","[""0"", ""0""]"
